"season","holiday","workingday","weather","temp","atemp","humidity","windspeed","count","demand_level","hour"
1,0,0,2,14.76,17.425,66,8.9981,75,0,13
1,0,0,3,14.76,17.425,76,12.998,59,0,14
1,0,0,3,13.94,16.665,81,11.0014,74,0,15
1,0,0,3,13.94,16.665,71,11.0014,76,0,16
1,0,0,1,13.94,16.665,57,12.998,65,0,17
1,0,0,2,14.76,16.665,46,22.0028,53,0,18
1,0,0,1,13.12,14.395,42,30.0026,30,0,19
1,0,0,1,12.3,13.635,39,23.9994,22,0,20
1,0,0,1,10.66,11.365,44,22.0028,31,0,21
1,0,0,1,9.84,10.605,44,19.9995,9,0,22
1,0,0,1,9.02,11.365,47,11.0014,8,0,23
1,0,1,1,9.02,9.85,44,23.9994,5,0,0
1,0,1,1,8.2,8.335,44,27.9993,2,0,1
1,0,1,1,6.56,6.82,47,26.0027,1,0,4
1,0,1,1,6.56,6.82,47,19.0012,3,0,5
1,0,1,1,5.74,5.305,50,26.0027,30,0,6
1,0,1,1,5.74,6.82,50,12.998,64,0,7
1,0,1,1,5.74,6.06,50,19.0012,154,0,8
1,0,1,1,6.56,6.82,43,26.0027,88,0,9
1,0,1,1,7.38,8.335,43,16.9979,44,0,10
1,0,1,1,8.2,9.09,40,22.0028,51,0,11
1,0,1,1,9.02,10.605,35,19.9995,61,0,12
1,0,1,1,9.84,10.605,35,19.0012,61,0,13
1,0,1,1,10.66,12.12,30,19.0012,77,0,14
1,0,1,1,10.66,12.12,30,16.9979,72,0,15
1,0,1,1,10.66,12.12,30,16.9979,76,0,16
1,0,1,1,9.84,11.365,30,15.0013,157,0,17
1,0,1,1,9.84,12.88,32,7.0015,157,0,18
1,0,1,1,8.2,12.88,47,0,110,0,19
1,0,1,1,8.2,11.365,47,7.0015,52,0,20
1,0,1,1,7.38,9.85,64,8.9981,52,0,21
1,0,1,1,5.74,7.575,69,8.9981,20,0,22
1,0,1,1,7.38,10.605,55,7.0015,12,0,23
1,0,1,1,6.56,9.09,55,7.0015,5,0,0
1,0,1,1,6.56,9.09,59,7.0015,2,0,1
1,0,1,1,5.74,7.575,63,8.9981,1,0,2
1,0,1,1,5.74,9.09,63,6.0032,2,0,4
1,0,1,1,4.92,7.575,68,7.0015,4,0,5
1,0,1,1,4.92,7.575,74,7.0015,36,0,6
1,0,1,1,4.92,7.575,74,8.9981,94,0,7
1,0,1,1,5.74,7.575,69,11.0014,179,0,8
1,0,1,1,6.56,7.575,64,15.0013,100,0,9
1,0,1,2,6.56,6.82,69,22.0028,42,0,10
1,0,1,1,9.02,10.605,51,19.9995,57,0,11
1,0,1,1,9.02,11.365,51,11.0014,78,0,12
1,0,1,1,9.84,11.365,56,12.998,97,0,13
1,0,1,1,10.66,12.88,52,15.0013,63,0,14
1,0,1,1,11.48,13.635,52,16.9979,65,0,15
1,0,1,1,12.3,14.395,49,16.9979,83,0,16
1,0,1,1,11.48,13.635,48,15.0013,212,0,17
1,0,1,1,10.66,12.88,48,12.998,182,0,18
1,0,1,1,9.84,12.88,48,7.0015,112,0,19
1,0,1,1,9.84,12.88,48,7.0015,54,0,20
1,0,1,1,9.02,13.635,64,0,48,0,21
1,0,1,1,9.02,12.88,64,6.0032,35,0,22
1,0,1,1,8.2,11.365,69,6.0032,11,0,23
1,0,1,1,8.2,12.88,64,0,6,0,0
1,0,1,1,6.56,9.85,74,6.0032,6,0,1
1,0,1,1,6.56,9.85,74,6.0032,2,0,2
1,0,1,1,9.84,11.365,48,15.0013,2,0,4
1,0,1,1,9.02,11.365,47,11.0014,3,0,5
1,0,1,1,8.2,9.85,47,15.0013,33,0,6
1,0,1,1,7.38,9.09,43,12.998,88,0,7
1,0,1,1,8.2,9.09,40,19.9995,195,0,8
1,0,1,1,9.02,9.85,37,22.0028,115,0,9
1,0,1,1,9.02,9.85,37,22.0028,57,0,10
1,0,1,1,10.66,11.365,33,22.0028,46,0,11
1,0,1,1,10.66,11.365,33,22.0028,79,0,12
1,0,1,1,11.48,12.88,30,19.9995,71,0,13
1,0,1,1,12.3,14.395,28,12.998,62,0,14
1,0,1,1,12.3,14.395,28,12.998,62,0,15
1,0,1,1,12.3,15.91,28,6.0032,89,0,16
1,0,1,1,9.84,11.365,38,12.998,190,0,17
1,0,1,1,9.84,12.12,38,8.9981,169,0,18
1,0,1,1,9.84,12.88,38,7.0015,132,0,19
1,0,1,1,9.02,11.365,47,11.0014,89,0,20
1,0,1,1,8.2,9.85,51,12.998,43,0,21
1,0,1,1,7.38,9.85,55,8.9981,42,0,22
1,0,1,1,8.2,12.88,47,0,19,0,23
1,0,1,1,7.38,12.12,55,0,11,0,0
1,0,1,1,6.56,11.365,64,0,4,0,1
1,0,1,1,6.56,11.365,64,0,2,0,2
1,0,1,2,6.56,9.85,64,6.0032,1,0,4
1,0,1,2,5.74,9.09,69,6.0032,4,0,5
1,0,1,2,5.74,8.335,63,7.0015,36,0,6
1,0,1,2,6.56,11.365,59,0,95,0,7
1,0,1,1,6.56,11.365,59,0,219,0,8
1,0,1,2,7.38,12.12,51,0,122,0,9
1,0,1,1,8.2,12.88,47,0,45,0,10
1,0,1,1,9.02,12.88,44,6.0032,59,0,11
1,0,1,1,10.66,14.395,35,0,84,0,12
1,0,1,1,10.66,13.635,35,7.0015,67,0,13
1,0,1,1,11.48,13.635,36,11.0014,70,0,14
1,0,1,1,11.48,13.635,36,0,62,0,15
1,0,1,1,10.66,12.88,38,11.0014,86,0,16
1,0,1,1,9.02,11.365,51,11.0014,172,0,17
1,0,1,1,9.02,11.365,51,8.9981,163,0,18
1,0,1,1,9.02,12.88,55,6.0032,112,0,19
1,0,1,1,8.2,10.605,51,11.0014,69,0,20
1,0,1,2,9.02,10.605,55,15.0013,48,0,21
1,0,1,2,9.02,10.605,51,19.0012,52,0,22
1,0,1,2,8.2,9.85,59,12.998,23,0,23
1,0,1,2,8.2,9.85,64,12.998,17,0,0
1,0,1,2,8.2,9.85,69,15.0013,7,0,1
1,0,1,2,8.2,9.85,69,15.0013,1,0,2
1,0,1,2,8.2,10.605,69,8.9981,1,0,4
1,0,1,3,9.02,13.635,55,0,5,0,5
1,0,1,2,8.2,12.88,69,0,34,0,6
1,0,1,1,8.2,10.605,69,8.9981,84,0,7
1,0,1,1,8.2,9.85,51,16.9979,210,0,8
1,0,1,1,8.2,9.09,47,19.9995,134,0,9
1,0,1,1,9.02,9.85,37,22.0028,63,0,10
1,0,1,2,8.2,9.85,40,15.0013,67,0,11
1,0,1,2,8.2,9.85,37,16.9979,59,0,12
1,0,1,2,8.2,9.09,37,19.0012,73,0,13
1,0,1,2,8.2,9.85,40,16.9979,50,0,14
1,0,1,2,8.2,10.605,37,11.0014,72,0,15
1,0,1,2,8.2,10.605,37,11.0014,87,0,16
1,0,1,2,8.2,12.88,37,0,187,0,17
1,0,1,1,8.2,11.365,40,6.0032,123,0,18
1,0,1,1,6.56,9.85,55,6.0032,95,0,19
1,0,1,1,7.38,10.605,47,7.0015,51,0,20
1,0,1,1,7.38,9.85,47,8.9981,39,0,21
1,0,1,2,7.38,9.85,43,11.0014,36,0,22
1,0,1,2,7.38,9.85,51,11.0014,15,0,23
1,0,0,2,7.38,9.85,51,11.0014,25,0,0
1,0,0,2,7.38,10.605,55,6.0032,16,0,1
1,0,0,2,7.38,12.12,55,0,16,0,2
1,0,0,3,7.38,9.85,55,11.0014,7,0,3
1,0,0,3,7.38,9.85,55,11.0014,1,0,4
1,0,0,2,6.56,8.335,74,11.0014,5,0,5
1,0,0,2,6.56,8.335,74,11.0014,2,0,6
1,0,0,2,6.56,9.09,74,7.0015,9,0,7
1,0,0,3,6.56,9.09,93,7.0015,15,0,8
1,0,0,3,6.56,9.09,93,7.0015,20,0,9
1,0,0,2,7.38,9.85,80,11.0014,61,0,10
1,0,0,2,8.2,9.09,69,26.0027,62,0,11
1,0,0,2,8.2,9.09,59,23.9994,98,0,12
1,0,0,1,8.2,9.09,44,22.0028,102,0,13
1,0,0,1,8.2,8.335,32,32.9975,95,0,14
1,0,0,1,8.2,8.335,32,30.0026,74,0,15
1,0,0,1,7.38,6.82,29,30.0026,76,0,16
1,0,0,1,6.56,6.06,37,36.9974,69,0,17
1,0,0,1,5.74,6.06,39,19.9995,55,0,18
1,0,0,1,5.74,6.06,36,16.9979,30,0,19
1,0,0,1,4.92,6.06,36,16.9979,28,0,20
1,0,0,1,4.92,5.305,39,23.9994,37,0,21
1,0,0,1,4.92,5.305,36,26.0027,34,0,22
1,0,0,1,4.1,3.03,39,30.0026,22,0,23
1,0,0,1,4.1,3.79,42,26.0027,25,0,0
1,0,0,1,4.1,3.03,42,31.0009,12,0,1
1,0,0,1,4.1,3.03,46,31.0009,11,0,2
1,0,0,1,4.1,3.79,46,27.9993,4,0,3
1,0,0,1,3.28,4.545,53,12.998,1,0,4
1,0,0,1,3.28,4.545,53,12.998,1,0,5
1,0,0,1,4.1,4.545,49,19.0012,1,0,6
1,0,0,1,3.28,4.545,53,12.998,6,0,7
1,0,0,1,4.1,4.545,49,19.0012,10,0,8
1,0,0,1,4.92,3.79,46,35.0008,19,0,9
1,0,0,1,5.74,5.305,43,26.0027,49,0,10
1,0,0,1,6.56,6.06,40,35.0008,49,0,11
1,0,0,1,7.38,6.82,37,30.0026,83,0,12
1,0,0,1,8.2,8.335,34,30.0026,75,0,13
1,0,0,1,9.02,9.09,32,31.0009,72,0,14
1,0,0,1,9.02,9.85,35,23.9994,82,0,15
1,0,0,1,8.2,8.335,34,30.0026,92,0,16
1,0,0,1,7.38,7.575,37,26.0027,62,0,17
1,0,0,1,6.56,6.82,40,22.0028,48,0,18
1,0,0,1,6.56,6.82,43,22.0028,41,0,19
1,0,0,1,5.74,6.06,46,16.9979,38,0,20
1,0,0,1,5.74,5.305,46,27.9993,20,0,21
1,0,0,1,5.74,6.06,46,19.9995,15,0,22
1,0,0,1,4.92,6.82,50,12.998,6,0,23
1,0,1,1,4.92,6.06,50,19.0012,5,0,0
1,0,1,1,4.92,6.06,50,19.0012,1,0,1
1,0,1,1,4.92,6.06,50,15.0013,3,0,2
1,0,1,1,4.92,6.06,50,15.0013,1,0,3
1,0,1,1,4.1,6.06,54,8.9981,3,0,4
1,0,1,1,4.1,5.305,54,16.9979,3,0,5
1,0,1,1,4.92,6.06,50,19.0012,31,0,6
1,0,1,1,4.92,6.06,50,15.0013,77,0,7
1,0,1,2,4.92,6.06,50,19.0012,188,0,8
1,0,1,2,5.74,6.06,50,16.9979,94,0,9
1,0,1,2,5.74,6.06,50,19.9995,31,0,10
1,0,1,2,6.56,6.82,47,19.0012,30,0,11
1,0,1,2,8.2,9.09,40,19.0012,52,0,12
1,0,1,2,8.2,9.09,40,19.0012,54,0,13
1,0,1,2,8.2,9.85,40,15.0013,47,0,14
1,0,1,2,8.2,9.85,40,15.0013,45,0,15
1,0,1,1,8.2,10.605,40,8.9981,74,0,16
1,0,1,1,8.2,11.365,40,7.0015,178,0,17
1,0,1,1,8.2,9.85,40,15.0013,155,0,18
1,0,1,1,6.56,8.335,47,11.0014,95,0,19
1,0,1,1,6.56,8.335,50,11.0014,74,0,20
1,0,1,1,5.74,6.82,59,12.998,38,0,21
1,0,1,1,5.74,7.575,59,11.0014,24,0,22
1,0,1,1,5.74,7.575,59,11.0014,18,0,23
1,0,1,1,5.74,8.335,59,7.0015,12,0,0
1,0,1,1,5.74,7.575,59,11.0014,3,0,1
1,0,1,2,6.56,7.575,55,12.998,3,0,2
1,0,1,2,6.56,9.09,55,8.9981,6,0,5
1,0,1,2,6.56,9.09,55,8.9981,27,0,6
1,0,1,2,6.56,11.365,55,0,99,0,7
1,0,1,2,7.38,10.605,51,6.0032,217,0,8
1,0,1,2,7.38,9.85,51,11.0014,130,0,9
1,0,1,2,8.2,10.605,51,11.0014,54,0,10
1,0,1,2,8.2,10.605,47,8.9981,35,0,11
1,0,1,2,8.2,11.365,51,7.0015,57,0,12
1,0,1,2,8.2,11.365,59,6.0032,52,0,13
1,0,1,2,8.2,11.365,59,6.0032,63,0,14
1,0,1,2,6.56,9.85,80,6.0032,47,0,15
1,0,1,2,6.56,7.575,86,15.0013,76,0,16
1,0,1,2,6.56,7.575,86,15.0013,136,0,17
1,0,1,3,6.56,9.09,93,7.0015,95,0,18
1,0,1,3,6.56,11.365,93,0,51,0,19
1,0,1,3,6.56,7.575,93,12.998,32,0,20
1,0,1,3,6.56,9.85,86,6.0032,20,0,21
1,0,1,3,6.56,9.09,93,7.0015,29,0,22
1,0,1,3,6.56,9.85,93,6.0032,19,0,23
1,0,1,2,6.56,9.85,86,6.0032,7,0,0
1,0,1,2,6.56,9.09,86,7.0015,6,0,1
1,0,1,1,5.74,7.575,86,8.9981,1,0,2
1,0,1,1,5.74,7.575,86,11.0014,5,0,5
1,0,1,1,4.92,7.575,93,8.9981,16,0,6
1,0,1,1,5.74,7.575,69,8.9981,54,0,7
1,0,1,1,6.56,8.335,59,11.0014,128,0,8
1,0,1,1,6.56,6.82,59,22.0028,81,0,9
1,0,1,1,7.38,9.09,55,15.0013,39,0,10
1,0,1,1,8.2,9.09,51,26.0027,35,0,11
1,0,1,1,8.2,7.575,47,39.0007,55,0,12
1,0,1,1,9.02,9.85,44,23.9994,49,0,13
1,0,1,1,8.2,9.09,47,22.0028,44,0,14
1,0,1,1,8.2,8.335,47,27.9993,49,0,15
1,0,1,1,9.02,9.85,44,22.0028,68,0,16
1,0,1,1,8.2,9.09,47,23.9994,139,0,17
1,0,1,1,8.2,7.575,47,35.0008,137,0,18
1,0,1,1,7.38,7.575,47,27.9993,83,0,19
1,0,1,1,6.56,6.82,50,22.0028,56,0,20
1,0,1,1,6.56,6.82,55,22.0028,57,0,21
1,0,1,1,6.56,6.06,55,30.0026,33,0,22
1,0,1,1,5.74,5.305,59,27.9993,20,0,23
1,0,1,1,5.74,6.06,59,19.0012,7,0,0
1,0,1,1,5.74,6.06,50,19.0012,2,0,1
1,0,1,1,5.74,6.06,50,23.9994,2,0,2
1,0,1,1,5.74,6.06,50,22.0028,3,0,3
1,0,1,1,5.74,6.06,50,16.9979,4,0,4
1,0,1,1,5.74,6.06,50,19.9995,3,0,5
1,0,1,1,4.92,7.575,54,8.9981,28,0,6
1,0,1,1,4.92,7.575,54,8.9981,72,0,7
1,0,1,1,5.74,6.82,50,12.998,202,0,8
1,0,1,1,5.74,6.06,50,22.0028,139,0,9
1,0,1,2,6.56,6.82,50,23.9994,38,0,10
1,0,1,2,8.2,8.335,44,30.0026,37,0,11
1,0,1,1,8.2,8.335,44,27.9993,52,0,12
1,0,1,1,9.02,9.85,41,30.0026,83,0,13
1,0,1,1,9.02,9.85,41,26.0027,42,0,14
1,0,1,1,9.84,10.605,38,19.9995,60,0,15
1,0,1,1,9.84,10.605,38,23.9994,78,0,16
1,0,1,1,8.2,9.09,40,19.0012,162,0,17
1,0,1,1,8.2,9.09,40,22.0028,144,0,18
1,0,1,1,6.56,7.575,47,16.9979,99,0,19
1,0,1,1,6.56,7.575,47,15.0013,64,0,20
1,0,1,1,5.74,6.06,46,19.9995,40,0,21
1,0,1,1,5.74,6.06,46,22.0028,30,0,22
1,0,1,1,4.92,6.82,50,12.998,15,0,23
1,0,1,1,4.92,6.82,50,12.998,14,0,0
1,0,1,1,4.1,6.06,54,11.0014,5,0,1
1,0,1,1,4.1,6.06,54,8.9981,1,0,2
1,0,1,1,4.1,6.82,54,7.0015,1,0,3
1,0,1,1,4.1,6.82,54,6.0032,8,0,5
1,0,1,1,4.1,9.09,54,0,17,0,6
1,0,1,1,4.1,6.06,74,11.0014,70,0,7
1,0,1,1,4.92,8.335,68,0,158,0,8
1,0,1,1,5.74,7.575,69,8.9981,117,0,9
1,0,1,1,7.38,9.09,55,12.998,44,0,10
1,0,1,1,7.38,8.335,51,19.0012,53,0,11
1,0,1,1,8.2,9.85,44,16.9979,61,0,12
1,0,1,1,9.02,9.85,37,26.0027,77,0,13
1,0,1,1,9.02,10.605,41,19.0012,64,0,14
1,0,1,1,9.84,12.12,38,11.0014,68,0,15
1,0,1,1,9.02,12.12,41,7.0015,90,0,16
1,0,1,1,9.02,11.365,41,11.0014,159,0,17
1,0,1,1,8.2,12.88,47,0,139,0,18
1,0,1,1,6.56,9.85,59,6.0032,92,0,19
1,0,1,1,7.38,12.12,59,0,68,0,20
1,0,1,1,6.56,11.365,69,0,52,0,21
1,0,1,2,6.56,11.365,69,0,36,0,22
1,0,1,2,7.38,12.12,55,0,27,0,23
1,0,0,1,7.38,12.12,55,0,28,0,0
1,0,0,2,6.56,9.85,59,6.0032,20,0,1
1,0,0,2,6.56,9.85,59,6.0032,12,0,2
1,0,0,2,6.56,11.365,59,0,8,0,3
1,0,0,2,6.56,11.365,59,0,5,0,4
1,0,0,1,6.56,11.365,59,0,1,0,5
1,0,0,1,5.74,8.335,63,7.0015,3,0,6
1,0,0,1,5.74,10.605,63,0,10,0,7
1,0,0,1,5.74,7.575,63,8.9981,23,0,8
1,0,0,1,6.56,9.09,64,8.9981,33,0,9
1,0,0,1,7.38,9.85,59,11.0014,59,0,10
1,0,0,1,8.2,9.85,55,15.0013,72,0,11
1,0,0,1,9.84,11.365,48,15.0013,89,0,12
1,0,0,1,11.48,12.88,38,19.9995,101,0,13
1,0,0,1,12.3,14.395,39,19.0012,118,0,14
1,0,0,2,13.12,15.91,36,12.998,129,0,15
1,0,0,2,13.94,16.665,34,12.998,128,0,16
1,0,0,2,13.12,15.15,36,19.0012,83,0,17
1,0,0,2,12.3,14.395,45,16.9979,84,0,18
1,0,0,2,13.12,15.15,39,16.9979,74,0,19
1,0,0,2,13.12,15.15,39,16.9979,41,0,20
1,0,0,2,13.12,15.15,39,15.0013,57,0,21
1,0,0,2,12.3,15.91,42,7.0015,26,0,22
1,0,0,1,12.3,14.395,45,19.0012,44,0,23
1,0,0,1,10.66,15.15,56,0,39,0,0
1,0,0,1,10.66,13.635,56,8.9981,23,0,1
1,0,0,1,10.66,14.395,56,6.0032,16,0,2
1,0,0,1,9.02,13.635,69,0,15,0,3
1,0,0,1,10.66,12.88,56,11.0014,1,0,4
1,0,0,2,10.66,12.88,56,11.0014,2,0,5
1,0,0,2,10.66,12.88,56,11.0014,1,0,6
1,0,0,2,9.84,10.605,56,19.9995,3,0,7
1,0,0,1,9.02,10.605,55,19.0012,18,0,8
1,0,0,1,9.02,10.605,51,16.9979,32,0,9
1,0,0,1,9.02,10.605,51,19.0012,79,0,10
1,0,0,1,9.84,11.365,44,16.9979,93,0,11
1,0,0,1,9.84,10.605,41,19.0012,104,0,12
1,0,0,1,10.66,11.365,35,19.9995,118,0,13
1,0,0,1,11.48,13.635,36,16.9979,91,0,14
1,0,0,1,10.66,12.12,38,16.9979,113,0,15
1,0,0,1,9.84,11.365,38,15.0013,99,0,16
1,0,0,1,9.02,10.605,37,16.9979,105,0,17
1,0,0,1,8.2,10.605,40,11.0014,67,0,18
1,0,0,1,7.38,9.85,47,8.9981,61,0,19
1,0,0,1,7.38,9.85,47,11.0014,57,0,20
1,0,0,1,7.38,9.85,51,11.0014,28,0,21
1,0,0,2,8.2,10.605,49,8.9981,21,0,22
1,0,0,2,8.2,11.365,40,7.0015,18,0,23
1,1,0,2,8.2,9.85,47,15.0013,17,0,0
1,1,0,2,8.2,9.85,44,12.998,16,0,1
1,1,0,2,7.38,8.335,43,16.9979,8,0,2
1,1,0,2,7.38,9.09,43,12.998,2,0,3
1,1,0,2,7.38,9.85,43,8.9981,3,0,4
1,1,0,2,7.38,9.85,43,11.0014,1,0,5
1,1,0,2,7.38,9.09,43,12.998,5,0,6
1,1,0,2,6.56,9.09,50,8.9981,13,0,7
1,1,0,2,6.56,7.575,47,15.0013,33,0,8
1,1,0,2,6.56,7.575,47,15.0013,47,0,9
1,1,0,2,6.56,7.575,50,16.9979,57,0,10
1,1,0,2,6.56,7.575,55,12.998,64,0,11
1,1,0,2,7.38,9.85,47,8.9981,80,0,12
1,1,0,2,7.38,9.85,47,8.9981,93,0,13
1,1,0,2,7.38,10.605,43,7.0015,86,0,14
1,1,0,2,8.2,10.605,47,11.0014,93,0,15
1,1,0,2,8.2,10.605,47,11.0014,82,0,16
1,1,0,1,8.2,9.85,51,12.998,71,0,17
1,1,0,2,7.38,8.335,55,16.9979,92,0,18
1,1,0,3,7.38,9.09,59,12.998,60,0,19
1,1,0,3,6.56,7.575,80,12.998,33,0,20
1,1,0,3,6.56,7.575,80,12.998,27,0,21
1,1,0,3,5.74,6.06,93,16.9979,13,0,22
1,1,0,3,6.56,6.82,86,19.0012,4,0,23
1,0,1,2,8.2,9.09,86,22.0028,3,0,12
1,0,1,2,8.2,9.85,86,15.0013,22,0,13
1,0,1,2,9.02,11.365,80,11.0014,28,0,14
1,0,1,2,9.02,11.365,87,11.0014,35,0,15
1,0,1,2,9.02,11.365,87,12.998,61,0,16
1,0,1,2,9.02,11.365,82,12.998,125,0,17
1,0,1,2,9.02,11.365,80,11.0014,133,0,18
1,0,1,2,9.02,11.365,80,8.9981,99,0,19
1,0,1,2,9.02,13.635,87,0,83,0,20
1,0,1,2,9.02,12.12,93,7.0015,41,0,21
1,0,1,2,9.02,12.88,93,6.0032,33,0,22
1,0,1,2,9.02,13.635,93,0,20,0,23
1,0,1,2,9.02,13.635,93,0,3,0,0
1,0,1,3,9.02,11.365,93,8.9981,7,0,1
1,0,1,3,9.02,11.365,93,8.9981,3,0,2
1,0,1,3,9.02,11.365,93,8.9981,2,0,4
1,0,1,2,9.02,12.88,93,6.0032,7,0,5
1,0,1,2,9.02,12.88,93,6.0032,32,0,6
1,0,1,2,9.84,12.88,92,7.0015,90,0,7
1,0,1,2,9.84,12.88,93,7.0015,197,0,8
1,0,1,2,9.84,12.88,93,7.0015,109,0,9
1,0,1,2,10.66,13.635,93,8.9981,47,0,10
1,0,1,2,11.48,15.15,87,6.0032,52,0,11
1,0,1,2,12.3,15.91,81,6.0032,70,0,12
1,0,1,1,16.4,20.455,62,19.0012,78,0,13
1,0,1,1,16.4,20.455,58,16.9979,75,0,14
1,0,1,1,16.4,20.455,54,19.0012,82,0,15
1,0,1,1,15.58,19.695,58,26.0027,104,0,16
1,0,1,1,14.76,16.665,57,22.0028,197,0,17
1,0,1,1,13.94,15.91,61,19.0012,161,0,18
1,0,1,1,13.12,14.395,57,27.9993,112,0,19
1,0,1,1,13.12,15.15,49,19.9995,76,0,20
1,0,1,1,13.12,14.395,49,27.9993,59,0,21
1,0,1,1,12.3,15.15,52,11.0014,59,0,22
1,0,1,1,12.3,13.635,52,31.0009,28,0,23
1,0,1,2,6.56,9.09,64,7.0015,8,0,0
1,0,1,2,6.56,9.09,69,7.0015,3,0,1
1,0,1,2,6.56,11.365,69,0,2,0,2
1,0,1,2,6.56,11.365,69,0,2,0,3
1,0,1,3,5.74,10.605,93,0,3,0,5
1,0,1,3,5.74,10.605,93,0,22,0,6
1,0,1,3,6.56,11.365,93,0,52,0,7
1,0,1,3,6.56,11.365,93,0,135,0,8
1,0,1,2,6.56,11.365,93,0,116,0,9
1,0,1,2,6.56,11.365,93,0,47,0,10
1,0,1,2,7.38,12.12,86,0,51,0,11
1,0,1,2,8.2,12.88,86,0,55,0,12
1,0,1,2,8.2,12.88,86,0,52,0,13
1,0,1,2,9.02,12.88,80,6.0032,54,0,14
1,0,1,2,9.84,14.395,75,0,52,0,15
1,0,1,2,9.84,12.12,75,8.9981,64,0,16
1,0,1,2,9.84,14.395,75,0,176,0,17
1,0,1,2,9.84,12.88,81,7.0015,168,0,18
1,0,1,2,9.84,12.12,81,8.9981,108,0,19
1,0,1,2,9.02,11.365,87,8.9981,74,0,20
1,0,1,2,9.02,11.365,87,8.9981,64,0,21
1,0,1,2,9.02,12.88,87,6.0032,36,0,22
1,0,1,3,8.2,9.85,93,12.998,16,0,23
1,0,1,3,9.02,12.12,93,7.0015,2,0,0
1,0,1,3,9.02,11.365,93,12.998,3,0,1
1,0,1,3,9.02,11.365,93,8.9981,4,0,2
1,0,1,3,9.02,11.365,93,8.9981,1,0,3
1,0,1,3,9.02,10.605,93,19.0012,1,0,4
1,0,1,3,9.02,12.12,93,7.0015,3,0,5
1,0,1,3,9.02,12.12,93,7.0015,18,0,6
1,0,1,3,9.02,10.605,93,15.0013,49,0,7
1,0,1,3,9.02,10.605,93,15.0013,155,0,8
1,0,1,2,9.84,12.88,93,6.0032,123,0,9
1,0,1,2,9.02,13.635,100,0,61,0,10
1,0,1,2,9.84,11.365,93,12.998,52,0,11
1,0,1,2,9.84,11.365,93,15.0013,64,0,12
1,0,1,1,13.94,16.665,93,11.0014,75,0,13
1,0,1,1,15.58,19.695,82,26.0027,63,0,14
1,0,1,1,15.58,19.695,76,22.0028,76,0,15
1,0,1,1,14.76,16.665,71,19.9995,103,0,16
1,0,1,1,14.76,15.91,53,35.0008,190,0,17
1,0,1,1,13.94,14.395,42,36.9974,182,0,18
1,0,1,1,11.48,12.12,45,32.9975,91,0,19
1,0,1,1,9.84,9.85,48,36.9974,75,0,20
1,0,1,1,9.02,9.85,47,22.0028,63,0,21
1,0,1,1,9.02,10.605,44,16.9979,40,0,22
1,0,1,1,8.2,8.335,44,30.0026,32,0,23
1,0,1,1,8.2,8.335,40,30.0026,12,0,0
1,0,1,1,8.2,7.575,44,35.0008,5,0,1
1,0,1,1,7.38,8.335,43,16.9979,2,0,2
1,0,1,1,7.38,8.335,43,16.9979,1,0,3
1,0,1,1,6.56,6.82,50,19.9995,2,0,5
1,0,1,1,6.56,6.82,43,23.9994,39,0,6
1,0,1,1,5.74,6.06,50,22.0028,87,0,7
1,0,1,1,5.74,6.06,50,23.9994,188,0,8
1,0,1,1,6.56,6.82,47,19.9995,133,0,9
